runbook_id,path,family,handler,profile,required_signals,vulnerable_rule,secure_rule,inconclusive_rule,producer,equivalence_group,fixture_set
API-AUTHZ-BOLA-READ-001,runbooks/authorization/api-authz-bola-read-001.yaml,authorization,workflow,bola-read,"blocked,failed,handler_signal,hardened,passed,prerequisites_missing,secure,target_reachable","handler_signal in {'failed','blocked'}","handler_signal in {'secure','hardened','passed'}",target_reachable == false or prerequisites_missing == true,workflow/bola-read,none,api-authz-bola-read-001.json
API-AUTHZ-BOLA-UPDATE-002,runbooks/authorization/api-authz-bola-update-002.yaml,authorization,workflow,bola-update,"blocked,failed,handler_signal,hardened,passed,prerequisites_missing,secure,target_reachable","handler_signal in {'failed','blocked'}","handler_signal in {'secure','hardened','passed'}",target_reachable == false or prerequisites_missing == true,workflow/bola-update,none,api-authz-bola-update-002.json
API-AUTHZ-CONTENTTYPE-BYPASS-017,runbooks/authorization/api-authz-contenttype-bypass-017.yaml,authorization,http,content-type-authorization-bypass,"by,powered,prerequisites_missing,response_headers,response_status,target_reachable,x","response_status in {200,401,403,500} and 'x-powered-by' in response_headers","response_status in {401,403} or 'x-powered-by' not in response_headers",target_reachable == false or prerequisites_missing == true,http/content-type-authorization-bypass,none,api-authz-contenttype-bypass-017.json
API-AUTHZ-EXPORT-023,runbooks/authorization/api-authz-export-023.yaml,authorization,workflow,export-authorization,"blocked,failed,handler_signal,hardened,passed,prerequisites_missing,secure,target_reachable","handler_signal in {'failed','blocked'}","handler_signal in {'secure','hardened','passed'}",target_reachable == false or prerequisites_missing == true,workflow/export-authorization,none,api-authz-export-023.json
API-AUTHZ-FIELD-READ-014,runbooks/authorization/api-authz-field-read-014.yaml,authorization,workflow,field-level-read,"blocked,failed,handler_signal,hardened,passed,prerequisites_missing,secure,target_reachable","handler_signal in {'failed','blocked'}","handler_signal in {'secure','hardened','passed'}",target_reachable == false or prerequisites_missing == true,workflow/field-level-read,none,api-authz-field-read-014.json
API-AUTHZ-FIELD-WRITE-015,runbooks/authorization/api-authz-field-write-015.yaml,authorization,workflow,field-level-write,"blocked,failed,handler_signal,hardened,passed,prerequisites_missing,secure,target_reachable","handler_signal in {'failed','blocked'}","handler_signal in {'secure','hardened','passed'}",target_reachable == false or prerequisites_missing == true,workflow/field-level-write,none,api-authz-field-write-015.json
API-AUTHZ-HIDDEN-FIELD-013,runbooks/authorization/api-authz-hidden-field-013.yaml,authorization,http,hidden-field-write,"by,powered,prerequisites_missing,response_headers,response_status,target_reachable,x","response_status in {200,401,403,500} and 'x-powered-by' in response_headers","response_status in {401,403} or 'x-powered-by' not in response_headers",target_reachable == false or prerequisites_missing == true,http/hidden-field-write,none,api-authz-hidden-field-013.json
API-AUTHZ-HORIZONTAL-005,runbooks/authorization/api-authz-horizontal-005.yaml,authorization,workflow,horizontal-privilege,"blocked,failed,handler_signal,hardened,passed,prerequisites_missing,secure,target_reachable","handler_signal in {'failed','blocked'}","handler_signal in {'secure','hardened','passed'}",target_reachable == false or prerequisites_missing == true,workflow/horizontal-privilege,none,api-authz-horizontal-005.json
API-AUTHZ-INDIRECT-REF-020,runbooks/authorization/api-authz-indirect-ref-020.yaml,authorization,workflow,indirect-reference-tampering,"blocked,failed,handler_signal,hardened,passed,prerequisites_missing,secure,target_reachable","handler_signal in {'failed','blocked'}","handler_signal in {'secure','hardened','passed'}",target_reachable == false or prerequisites_missing == true,workflow/indirect-reference-tampering,none,api-authz-indirect-ref-020.json
API-AUTHZ-MASS-OWNER-012,runbooks/authorization/api-authz-mass-owner-012.yaml,authorization,http,mass-assignment-owner,"by,powered,prerequisites_missing,response_headers,response_status,target_reachable,x","response_status in {200,401,403,500} and 'x-powered-by' in response_headers","response_status in {401,403} or 'x-powered-by' not in response_headers",target_reachable == false or prerequisites_missing == true,http/mass-assignment-owner,none,api-authz-mass-owner-012.json
API-AUTHZ-MASS-ROLE-011,runbooks/authorization/api-authz-mass-role-011.yaml,authorization,http,mass-assignment-role,"by,powered,prerequisites_missing,response_headers,response_status,target_reachable,x","response_status in {200,401,403,500} and 'x-powered-by' in response_headers","response_status in {401,403} or 'x-powered-by' not in response_headers",target_reachable == false or prerequisites_missing == true,http/mass-assignment-role,none,api-authz-mass-role-011.json
API-AUTHZ-METHOD-BYPASS-016,runbooks/authorization/api-authz-method-bypass-016.yaml,authorization,http,method-authorization-bypass,"by,powered,prerequisites_missing,response_headers,response_status,target_reachable,x","response_status in {200,401,403,500} and 'x-powered-by' in response_headers","response_status in {401,403} or 'x-powered-by' not in response_headers",target_reachable == false or prerequisites_missing == true,http/method-authorization-bypass,none,api-authz-method-bypass-016.json
API-AUTHZ-NESTED-OBJECT-009,runbooks/authorization/api-authz-nested-object-009.yaml,authorization,workflow,nested-object-authorization,"blocked,failed,handler_signal,hardened,passed,prerequisites_missing,secure,target_reachable","handler_signal in {'failed','blocked'}","handler_signal in {'secure','hardened','passed'}",target_reachable == false or prerequisites_missing == true,workflow/nested-object-authorization,none,api-authz-nested-object-009.json
API-AUTHZ-PARAM-POLLUTION-019,runbooks/authorization/api-authz-param-pollution-019.yaml,authorization,http,parameter-pollution-authorization,"by,powered,prerequisites_missing,response_headers,response_status,target_reachable,x","response_status in {200,401,403,500} and 'x-powered-by' in response_headers","response_status in {401,403} or 'x-powered-by' not in response_headers",target_reachable == false or prerequisites_missing == true,http/parameter-pollution-authorization,none,api-authz-param-pollution-019.json
API-AUTHZ-PATH-NORMALIZE-018,runbooks/authorization/api-authz-path-normalize-018.yaml,authorization,http,path-normalization-authorization,"by,powered,prerequisites_missing,response_headers,response_status,target_reachable,x","response_status in {200,401,403,500} and 'x-powered-by' in response_headers","response_status in {401,403} or 'x-powered-by' not in response_headers",target_reachable == false or prerequisites_missing == true,http/path-normalization-authorization,none,api-authz-path-normalize-018.json
API-AUTHZ-RELATIONSHIP-022,runbooks/authorization/api-authz-relationship-022.yaml,authorization,workflow,relationship-authorization,"blocked,failed,handler_signal,hardened,passed,prerequisites_missing,secure,target_reachable","handler_signal in {'failed','blocked'}","handler_signal in {'secure','hardened','passed'}",target_reachable == false or prerequisites_missing == true,workflow/relationship-authorization,none,api-authz-relationship-022.json
API-AUTHZ-TENANT-READ-007,runbooks/authorization/api-authz-tenant-read-007.yaml,authorization,workflow,cross-tenant-read,"blocked,failed,handler_signal,hardened,passed,prerequisites_missing,secure,target_reachable","handler_signal in {'failed','blocked'}","handler_signal in {'secure','hardened','passed'}",target_reachable == false or prerequisites_missing == true,workflow/cross-tenant-read,none,api-authz-tenant-read-007.json
API-AUTHZ-TENANT-WRITE-008,runbooks/authorization/api-authz-tenant-write-008.yaml,authorization,workflow,cross-tenant-write,"blocked,failed,handler_signal,hardened,passed,prerequisites_missing,secure,target_reachable","handler_signal in {'failed','blocked'}","handler_signal in {'secure','hardened','passed'}",target_reachable == false or prerequisites_missing == true,workflow/cross-tenant-write,none,api-authz-tenant-write-008.json
API-AUTHZ-UUID-REPLACE-021,runbooks/authorization/api-authz-uuid-replace-021.yaml,authorization,workflow,uuid-replacement,"blocked,failed,handler_signal,hardened,passed,prerequisites_missing,secure,target_reachable","handler_signal in {'failed','blocked'}","handler_signal in {'secure','hardened','passed'}",target_reachable == false or prerequisites_missing == true,workflow/uuid-replacement,none,api-authz-uuid-replace-021.json
API-AUTHZ-VERTICAL-006,runbooks/authorization/api-authz-vertical-006.yaml,authorization,workflow,vertical-privilege,"blocked,failed,handler_signal,hardened,passed,prerequisites_missing,secure,target_reachable","handler_signal in {'failed','blocked'}","handler_signal in {'secure','hardened','passed'}",target_reachable == false or prerequisites_missing == true,workflow/vertical-privilege,none,api-authz-vertical-006.json
API-AUTHZ-WEBHOOK-OWNER-024,runbooks/authorization/api-authz-webhook-owner-024.yaml,authorization,workflow,webhook-ownership,"blocked,failed,handler_signal,hardened,passed,prerequisites_missing,secure,target_reachable","handler_signal in {'failed','blocked'}","handler_signal in {'secure','hardened','passed'}",target_reachable == false or prerequisites_missing == true,workflow/webhook-ownership,none,api-authz-webhook-owner-024.json
API-LOGIC-COUPON-REUSE-007,runbooks/business-logic/api-logic-coupon-reuse-007.yaml,business-logic,workflow,coupon-reuse,"blocked,failed,handler_signal,hardened,passed,prerequisites_missing,secure,target_reachable","handler_signal in {'failed','blocked'}","handler_signal in {'secure','hardened','passed'}",target_reachable == false or prerequisites_missing == true,workflow/coupon-reuse,none,api-logic-coupon-reuse-007.json
API-LOGIC-DUPLICATE-TXN-003,runbooks/business-logic/api-logic-duplicate-txn-003.yaml,business-logic,workflow,duplicate-transaction,"blocked,failed,handler_signal,hardened,passed,prerequisites_missing,secure,target_reachable","handler_signal in {'failed','blocked'}","handler_signal in {'secure','hardened','passed'}",target_reachable == false or prerequisites_missing == true,workflow/duplicate-transaction,none,api-logic-duplicate-txn-003.json
API-LOGIC-IDEMPOTENCY-004,runbooks/business-logic/api-logic-idempotency-004.yaml,business-logic,workflow,idempotency-key,"blocked,failed,handler_signal,hardened,passed,prerequisites_missing,secure,target_reachable","handler_signal in {'failed','blocked'}","handler_signal in {'secure','hardened','passed'}",target_reachable == false or prerequisites_missing == true,workflow/idempotency-key,none,api-logic-idempotency-004.json
API-LOGIC-INVENTORY-010,runbooks/business-logic/api-logic-inventory-010.yaml,business-logic,race,inventory-oversell,"False,True,prerequisites_missing,race_duplicate_success,target_reachable",race_duplicate_success==True,race_duplicate_success==False,target_reachable == false or prerequisites_missing == true,race/inventory-oversell,none,api-logic-inventory-010.json
API-LOGIC-NEGATIVE-QTY-002,runbooks/business-logic/api-logic-negative-qty-002.yaml,business-logic,workflow,negative-quantity,"blocked,failed,handler_signal,hardened,passed,prerequisites_missing,secure,target_reachable","handler_signal in {'failed','blocked'}","handler_signal in {'secure','hardened','passed'}",target_reachable == false or prerequisites_missing == true,workflow/negative-quantity,none,api-logic-negative-qty-002.json
API-LOGIC-PRICE-001,runbooks/business-logic/api-logic-price-001.yaml,business-logic,workflow,price-tampering,"blocked,failed,handler_signal,hardened,passed,prerequisites_missing,secure,target_reachable","handler_signal in {'failed','blocked'}","handler_signal in {'secure','hardened','passed'}",target_reachable == false or prerequisites_missing == true,workflow/price-tampering,none,api-logic-price-001.json
API-LOGIC-RACE-006,runbooks/business-logic/api-logic-race-006.yaml,business-logic,race,business-race-condition,"False,True,prerequisites_missing,race_duplicate_success,target_reachable",race_duplicate_success==True,race_duplicate_success==False,target_reachable == false or prerequisites_missing == true,race/business-race-condition,none,api-logic-race-006.json
API-LOGIC-REFUND-AMOUNT-009,runbooks/business-logic/api-logic-refund-amount-009.yaml,business-logic,workflow,refund-amount,"blocked,failed,handler_signal,hardened,passed,prerequisites_missing,secure,target_reachable","handler_signal in {'failed','blocked'}","handler_signal in {'secure','hardened','passed'}",target_reachable == false or prerequisites_missing == true,workflow/refund-amount,none,api-logic-refund-amount-009.json
API-LOGIC-STATE-TRANSITION-008,runbooks/business-logic/api-logic-state-transition-008.yaml,business-logic,workflow,state-transition,"blocked,failed,handler_signal,hardened,passed,prerequisites_missing,secure,target_reachable","handler_signal in {'failed','blocked'}","handler_signal in {'secure','hardened','passed'}",target_reachable == false or prerequisites_missing == true,workflow/state-transition,none,api-logic-state-transition-008.json
API-LOGIC-STEP-BYPASS-005,runbooks/business-logic/api-logic-step-bypass-005.yaml,business-logic,workflow,workflow-step-bypass,"blocked,failed,handler_signal,hardened,passed,prerequisites_missing,secure,target_reachable","handler_signal in {'failed','blocked'}","handler_signal in {'secure','hardened','passed'}",target_reachable == false or prerequisites_missing == true,workflow/workflow-step-bypass,none,api-logic-step-bypass-005.json
API-CONFIG-CONTENTTYPE-004,runbooks/configuration/api-config-contenttype-004.yaml,configuration,http,content-type-enforcement,"by,powered,prerequisites_missing,response_headers,response_status,target_reachable,x","response_status in {200,401,403,500} and 'x-powered-by' in response_headers","response_status in {401,403} or 'x-powered-by' not in response_headers",target_reachable == false or prerequisites_missing == true,http/content-type-enforcement,none,api-config-contenttype-004.json
API-CONFIG-CORS-CREDENTIALS-001,runbooks/configuration/api-config-cors-credentials-001.yaml,configuration,headers,cors-wildcard-credentials,"failed,handler_signal,hardened,insecure,passed,prerequisites_missing,response_headers,secure,target_reachable,vulnerable","response_headers is not None and len(response_headers) == 0 or handler_signal in {'insecure','vulnerable','failed'}","response_headers is not None and len(response_headers) > 0 or handler_signal in {'secure','hardened','passed'}",target_reachable == false or prerequisites_missing == true,headers/cors-wildcard-credentials,none,api-config-cors-credentials-001.json
API-CONFIG-CORS-REFLECT-002,runbooks/configuration/api-config-cors-reflect-002.yaml,configuration,headers,cors-origin-reflection,"failed,handler_signal,hardened,insecure,passed,prerequisites_missing,response_headers,secure,target_reachable,vulnerable","response_headers is not None and len(response_headers) == 0 or handler_signal in {'insecure','vulnerable','failed'}","response_headers is not None and len(response_headers) > 0 or handler_signal in {'secure','hardened','passed'}",target_reachable == false or prerequisites_missing == true,headers/cors-origin-reflection,none,api-config-cors-reflect-002.json
API-CONFIG-DEBUG-MODE-008,runbooks/configuration/api-config-debug-mode-008.yaml,configuration,nuclei,debug-mode,"critical,high,info,low,medium,nuclei_finding_count,nuclei_severity,prerequisites_missing,target_reachable","nuclei_severity in {'high','critical','medium'}","nuclei_severity in {'low','info'} or nuclei_finding_count==0",target_reachable == false or prerequisites_missing == true,nuclei/debug-mode,none,api-config-debug-mode-008.json
API-CONFIG-DEFAULT-CREDS-006,runbooks/configuration/api-config-default-creds-006.yaml,configuration,workflow,default-credentials,"blocked,failed,handler_signal,hardened,passed,prerequisites_missing,secure,target_reachable","handler_signal in {'failed','blocked'}","handler_signal in {'secure','hardened','passed'}",target_reachable == false or prerequisites_missing == true,workflow/default-credentials,none,api-config-default-creds-006.json
API-CONFIG-DEPRECATED-VERSION-007,runbooks/configuration/api-config-deprecated-version-007.yaml,configuration,fuzz,deprecated-api-version,"False,True,fuzz_200_ratio,fuzz_wildcard,prerequisites_missing,target_reachable",fuzz_200_ratio > 0.15 or fuzz_wildcard==False,fuzz_200_ratio <= 0.15 or fuzz_wildcard==True,target_reachable == false or prerequisites_missing == true,fuzz/deprecated-api-version,none,api-config-deprecated-version-007.json
API-CONFIG-HOST-TRUST-010,runbooks/configuration/api-config-host-trust-010.yaml,configuration,http,host-header-trust,"by,powered,prerequisites_missing,response_headers,response_status,target_reachable,x","response_status in {200,401,403,500} and 'x-powered-by' in response_headers","response_status in {401,403} or 'x-powered-by' not in response_headers",target_reachable == false or prerequisites_missing == true,http/host-header-trust,none,api-config-host-trust-010.json
API-CONFIG-SECURITY-HEADERS-005,runbooks/configuration/api-config-security-headers-005.yaml,configuration,headers,security-headers,"failed,handler_signal,hardened,insecure,passed,prerequisites_missing,response_headers,secure,target_reachable,vulnerable","response_headers is not None and len(response_headers) == 0 or handler_signal in {'insecure','vulnerable','failed'}","response_headers is not None and len(response_headers) > 0 or handler_signal in {'secure','hardened','passed'}",target_reachable == false or prerequisites_missing == true,headers/security-headers,none,api-config-security-headers-005.json
API-CONFIG-SERVER-BANNER-009,runbooks/configuration/api-config-server-banner-009.yaml,configuration,headers,server-banner,"failed,handler_signal,hardened,insecure,passed,prerequisites_missing,response_headers,secure,target_reachable,vulnerable","response_headers is not None and len(response_headers) == 0 or handler_signal in {'insecure','vulnerable','failed'}","response_headers is not None and len(response_headers) > 0 or handler_signal in {'secure','hardened','passed'}",target_reachable == false or prerequisites_missing == true,headers/server-banner,none,api-config-server-banner-009.json
API-CONFIG-UNSAFE-METHODS-003,runbooks/configuration/api-config-unsafe-methods-003.yaml,configuration,http,unsafe-http-methods,"by,powered,prerequisites_missing,response_headers,response_status,target_reachable,x","response_status in {200,401,403,500} and 'x-powered-by' in response_headers","response_status in {401,403} or 'x-powered-by' not in response_headers",target_reachable == false or prerequisites_missing == true,http/unsafe-http-methods,none,api-config-unsafe-methods-003.json
API-DATA-CACHE-CONTROL-007,runbooks/data-exposure/api-data-cache-control-007.yaml,data-exposure,headers,sensitive-cache-control,"failed,handler_signal,hardened,insecure,passed,prerequisites_missing,response_headers,secure,target_reachable,vulnerable","response_headers is not None and len(response_headers) == 0 or handler_signal in {'insecure','vulnerable','failed'}","response_headers is not None and len(response_headers) > 0 or handler_signal in {'secure','hardened','passed'}",target_reachable == false or prerequisites_missing == true,headers/sensitive-cache-control,none,api-data-cache-control-007.json
API-DATA-DEBUG-ENDPOINT-009,runbooks/data-exposure/api-data-debug-endpoint-009.yaml,data-exposure,fuzz,debug-endpoint-exposure,"False,True,fuzz_200_ratio,fuzz_wildcard,prerequisites_missing,target_reachable",fuzz_200_ratio > 0.15 or fuzz_wildcard==False,fuzz_200_ratio <= 0.15 or fuzz_wildcard==True,target_reachable == false or prerequisites_missing == true,fuzz/debug-endpoint-exposure,none,api-data-debug-endpoint-009.json
API-DATA-DIRECTORY-LIST-008,runbooks/data-exposure/api-data-directory-list-008.yaml,data-exposure,nuclei,directory-listing,"critical,high,info,low,medium,nuclei_finding_count,nuclei_severity,prerequisites_missing,target_reachable","nuclei_severity in {'high','critical','medium'}","nuclei_severity in {'low','info'} or nuclei_finding_count==0",target_reachable == false or prerequisites_missing == true,nuclei/directory-listing,none,api-data-directory-list-008.json
